,THIRD,Conv1D,Gabor1D,MuReNN
0,0.1717934274424626,0.05170308404224223,1.2515371900161214e-07,1.731756149439751e-07
1,0.14623020436922354,0.04672330939229278,1.2160584217019353e-07,2.0056471189562122e-05
2,0.1243378030053826,0.032386711682560215,1.2339108936839618e-07,0.0003459710660459259
3,0.1050995533736247,0.04331488857748312,1.8840127833511342e-07,6.169239467823075e-05
4,0.08843742258210667,0.03891714046585337,1.8883503354594502e-07,0.008702896887500639
5,0.07378908341069397,0.05609419263599286,1.919962196592451e-07,0.002406986434402236
6,0.061030231633395306,0.06633094543471037,2.674586800099466e-07,0.0002649550353464793
7,0.0501589153482095,0.09805720802114364,3.7398214135374494e-07,0.004255256874511615
8,0.04113070929932542,0.09644115721791276,4.999655173697182e-07,0.0007143491229994978
9,0.03382766473173842,0.0967871407691796,6.073460509861499e-07,0.00010250655347797794
10,0.02790738384413305,0.064158269748535,7.796433403595707e-07,0.0031052156005351495
11,0.023070052210196083,0.07170875886934414,7.319669460118544e-07,0.0006436848311032778
12,0.019208364477913437,0.06452402703319801,8.795775673856678e-07,8.037366364920372e-05
13,0.016301011482690645,0.0426094454087037,1.0347116760790553e-06,0.0009651490633010142
14,0.014424974204832429,0.04251829921839258,1.355230549645283e-06,0.0003585273608435516
15,0.013762703832043928,0.02286923847734055,1.7621878242699847e-06,4.4846954038083245e-05
16,0.014424974204832429,0.023583461475193284,2.2477695289313245e-06,0.001180306381051797
17,0.016301011482690645,0.02058848203288874,2.4170505828973876e-06,0.0003519286502027358
18,0.01920836447791344,0.027924343578916926,3.1011351909397413e-06,5.572072555944727e-05
19,0.023070052210196083,0.02950315669647144,4.694544552214959e-06,0.0009825822915768567
20,0.027907383844133056,0.0339876791707123,5.859885879372815e-06,0.00028562994873821134
21,0.03382766473173842,0.05862256892966243,8.346269885085435e-06,1.509065319660264e-05
22,0.04113070929932543,0.0535765535109719,1.2331421279406524e-05,0.0005290195056598023
23,0.050158915348209494,0.07420843300665822,1.6378016416858946e-05,9.498473117773964e-05
24,0.061030231633395306,0.08785322146771195,1.891832573584176e-05,0.0007020058669834155
25,0.07378908341069396,0.04750072610765993,2.1210269226256078e-05,0.0001462352957279316
26,0.08843742258210666,0.043290226371600765,2.174128950565565e-05,1.7221545346700744e-05
27,0.10509955337362473,0.03430154495768725,2.2674644505393743e-05,0.00020627584261121739
28,0.12433780300538258,0.04471957797249077,4.573331166392774e-05,4.10256746236703e-05
29,0.14623020436922354,0.042822182442455704,9.921217197305292e-05,3.072450302704419e-05
30,0.17179342744246254,0.04412668640735961,0.00014234163071701755,3.0066674102958342e-05
