,GAM,Conv1D,Gabor1D,MuReNN
0,1.629043015608724,0.15905230703904305,7.488282767383238e-08,0.0010362443187355577
1,1.7579677879961826,0.16526171197972908,7.158057500865532e-08,4.695595503458523e-06
2,1.7262376665110286,0.16888978644324237,7.659189567034564e-08,1.1685659062447093e-05
3,1.453140125694758,0.13502783898570234,7.684929675387064e-08,0.0006913351956546275
4,1.0495491752098274,0.08668332724623071,7.680757100975947e-08,0.0003476289989340913
5,0.7472350249679363,0.03520053883891572,7.68975916197452e-08,0.000629150642760051
6,0.5892848204331934,0.021174110623053577,1.40183107389984e-07,0.0005793662640418089
7,0.43654536924874404,0.03269681221754354,1.4003843116101525e-07,0.0003225007706051903
8,0.32815840662788126,0.03026748349388492,7.692341886909396e-08,0.00026933927246920844
9,0.24564187002058163,0.033348553276108334,1.404627137541934e-07,2.681684802699829e-05
10,0.18096678064253838,0.03908952747199566,1.4070770562543328e-07,6.486458730580409e-06
11,0.1326847618193257,0.06846254606214702,1.408482879313357e-07,3.0727336171474656e-05
12,0.09620578511455126,0.06121823739297408,1.411162357332305e-07,0.00016851469311179035
13,0.06885180766441688,0.0727208108319113,1.3991610106217316e-07,0.0011639531139855206
14,0.049183662202114585,0.10358400355463727,1.412857062738728e-07,0.0017406169467474907
15,0.03469278735670417,0.11277432912215059,1.412543916116602e-07,0.000985962431256689
16,0.02441928589654962,0.10434444264051151,2.1996815357849214e-07,0.0022153352601962154
17,0.017045569298565,0.13180680402078174,2.246220414341461e-07,0.0005888578102262302
18,0.011826276494859905,0.13047271519818945,3.2014638879214256e-07,0.0007204632979910949
19,0.008167067478910143,0.14212571871425442,2.2121427609651848e-07,0.00039879868951900175
20,0.0056037729015905435,0.139170700774204,3.284601772368794e-07,0.0002828318233001885
21,0.003831725140200368,0.14626908917142556,2.9772231545532545e-07,8.599988559921068e-05
22,0.0026122349659221337,0.1608503631472536,2.9624833761226366e-07,4.252047168855471e-05
23,0.0017782007836573824,0.20857916903780863,3.0305154963006997e-07,1.2478146412043564e-05
24,0.001212666493280846,0.2321145564769098,3.950844610287994e-07,4.417414971355374e-06
25,0.0008305653680183263,0.1853008137580779,3.9609652373185774e-07,0.0007968666819337074
26,0.0005739463263568416,0.2649931528055601,3.8951803726464823e-07,0.0005698449669640831
27,0.0004024678165451474,0.23973639400304295,3.909241669996979e-07,0.00035365360268583727
28,0.00028821260339244493,0.23473156223417127,5.090482140968078e-07,0.0003223636538863545
29,0.0002123277811366107,0.27130648176400557,5.09303807316634e-07,0.00020813171810299828
30,0.00016187789923337257,0.25637522620743164,5.086920640545736e-07,0.00019365976440315636
31,0.0001282176532478894,0.25135308205699247,6.677548620988004e-07,9.160836707725055e-05
32,0.00010565588888421934,0.26747454796117004,6.766987008136578e-07,6.809379439584617e-05
33,9.042442701181476e-05,0.31038815160834493,8.673620942879836e-07,3.3553023148835234e-05
34,8.011994824526586e-05,0.34433505935028125,8.657766957552972e-07,1.2561029930397093e-05
35,7.325400096190649e-05,0.3457492483558707,8.728895402010764e-07,3.615522763757417e-06
36,6.887954483442446e-05,0.42378358129202565,1.0991561532549007e-06,0.0014248779482728703
37,6.63623992350912e-05,0.4399604595261644,1.0822116692296163e-06,0.0006742501849176415
38,6.530272439145983e-05,0.48051853828057206,1.089062828967934e-06,0.0007168621675769546
39,6.553783774836451e-05,0.3686665907775414,1.3117979027401991e-06,0.0005214614928049191
40,6.707364896115314e-05,0.38161850519204904,1.3171534096278822e-06,0.00038037902780961374
41,6.9925177411255e-05,0.30435889842421376,1.3063120062759066e-06,0.00015459576481855616
42,7.40381785448307e-05,0.3162701558172554,1.602146089133149e-06,4.431273132874539e-05
43,7.940957360101858e-05,0.2666777232807875,1.6030744397521361e-06,1.4654424467556141e-05
44,8.63239856583652e-05,0.23074049336469504,1.6601382242989094e-06,2.830992144366925e-06
45,9.561984088879724e-05,0.25491609793814174,1.972838763057212e-06,0.0010473922800690529
46,0.00010895493548541815,0.2757649362208679,2.3805700075312776e-06,0.0009345807144045597
47,0.00012905112822100557,0.3185582389279211,2.399052653012156e-06,0.0005760369151416922
48,0.00015994817232868903,0.38385802243426487,2.8181264041059048e-06,0.0003269608028255927
49,0.00020754562510832682,0.366884250768818,3.2937858407706107e-06,9.047776350426266e-05
50,0.0002811499529395686,0.37452127937507523,3.2837827338738663e-06,2.4655050626520283e-05
51,0.0003976338179758846,0.32859249001415913,3.2334550221353048e-06,5.748994098137268e-06
52,0.0005924522855235521,0.34953266203189803,4.0718420164403424e-06,1.3076572544232233e-06
53,0.0009487641434388061,0.3228731687121991,4.5130845892837085e-06,0.000245959986242322
54,0.001671431206498992,0.28155212753993786,4.509564302516028e-06,8.407859735035794e-05
55,0.0032701723486632914,0.2410191553324968,4.978360228149707e-06,3.48355778334666e-05
56,0.00703199234748846,0.21127244626379785,5.038243175912842e-06,8.042514078002068e-06
57,0.016167332281271245,0.17431093591734495,5.561890272429787e-06,1.1548447999153929e-06
58,0.03772560780943175,0.15537082608647126,6.1811014178853175e-06,0.00010384559471276088
59,0.0835329760279874,0.15948178760856396,6.733926147888102e-06,4.0259327378518516e-05
60,0.16669226602512882,0.19502715096280104,7.355277447165237e-06,4.516591186252694e-06
61,0.29442664790427786,0.16002356575785318,9.539029157480725e-06,6.89877945735257e-05
62,0.46543584722039016,0.15119331655193344,1.0593052788722905e-05,6.900005046781702e-05
63,0.6742371643209311,0.15489926932018566,1.0659972544015494e-05,8.232636944074727e-05
64,0.9130228959507466,0.14920811769303638,1.313626683470712e-05,5.113564270013809e-05
65,1.1631414212743003,0.17166441600727864,1.345876324097665e-05,0.0002387257556484238
