,VQT,Conv1D,Gabor1D,MuReNN
84,0.11500199263009941,0.06229709045739589,3.461895376155157e-06,8.744234829968113e-06
85,0.12391011644882849,0.08105335395755606,3.5028030208467785e-06,0.00013489176068148305
86,0.13318284851247614,0.06661516153545942,3.8961748624667166e-06,0.00010812179146933898
87,0.14332169025314698,0.05968013190443783,4.3219509811128945e-06,8.727611345201145e-05
88,0.1554414341943023,0.06252496937192625,4.814293398344255e-06,8.018627409991694e-05
89,0.16895198872711534,0.07205803039522204,4.808134936173068e-06,3.0106247722013403e-05
90,0.18352659627688872,0.06789257181882076,5.786596586353334e-06,9.283398571475938e-06
91,0.20062004064515165,0.0734739464232728,5.778668467641608e-06,7.0022706721031426e-06
92,0.2243989135552799,0.06910008823078304,6.3255611878852985e-06,1.8629892488320444e-05
93,0.2550814984756928,0.08103542805104035,6.368488198959247e-06,2.3187148871066428e-05
94,0.2933159801969369,0.06228947656857855,6.8680910746866896e-06,3.8570794945448754e-05
